日付,食材,数量,単位,スクリプトキック,カロリー,タンパク質,脂質,炭水化物,スコア,備考
2025-07-01,ごはん,100.00,g,完了,168.00kcal,2.50g,0.30g,37.10g,,
2025-07-06,焼き饅頭,1,個,完了,270.0kcal,4.0g,5.0g,50.0g,,
2025-07-06,不揃いどらやき,7,個,完了,916.0kcal,14.0g,24.0g,150.0g,,
2025-07-06,富士宮やきそば,1,皿,完了,600.0kcal,15.00g,20.00g,80.00g,65点,
2025-07-06,草餅,1,個,完了,120.0kcal,2.00g,0.50g,25.00g,65点,
2025-07-06,プリンジュース,200,ml ,完了,150.0kcal,3.00g,4.00g,25.00g,65点,
2025-07-06,ソフトクリーム,1,個,完了,200.0kcal,3.00g,10.00g,25.00g,50点,
2025-07-06,ところてん,1,杯,完了,6.0kcal,0.10g,0.00g,1.50g,30点,
2025-07-06,五平餅,1,本,完了,200.0kcal,4.00g,2.00g,40.00g,65点,
2025-07-06,アップルパン,1,個,完了,250.0kcal,4.00g,8.00g,40.00g,65点,
2025-07-06,焼き芋,300,g ,完了,390.0kcal,4.20g,0.60g,90.00g,75点,
2025-07-06,mow（アイス）,150,個,完了,221.0kcal,3.0g,12.0g,25.0g,,
2025-07-06,スシロー,35,皿,完了,2800.0kcal,70.0g,50.0g,400.0g,,????????????????????????
2025-07-13,ごはん（白米）,100,g ,完了,168.0kcal,2.50g,0.30g,37.10g,65点,
2025-07-13,餅（切り餅）,50,g ,完了,118.0kcal,2.30g,0.20g,25.80g,65点,
2025-07-13,納豆,50,g ,完了,100.0kcal,8.30g,5.00g,6.00g,85点,
2025-07-13,ふりかけ,5,g ,完了,20.0kcal,0.50g,0.30g,3.50g,40点,
2025-07-13,はちみつ,10,g ,完了,30.0kcal,0.06g,0.00g,8.10g,50点,
2025-07-13,コンデンスミルク,10,g ,完了,32.0kcal,0.80g,0.90g,5.40g,45点,
2025-07-13,豆大福,80,g ,完了,200.0kcal,4.00g,1.00g,42.00g,65点,
2025-07-13,魂心家（家系ラーメン）,1,杯,完了,850.0kcal,30.00g,50.00g,70.00g,65点,
2025-07-13,ごはん,800,g ,完了,"1,344.0kcal",20.00g,2.00g,296.00g,70点,
2025-07-13,いも（さつまいも）,100,g ,完了,132.0kcal,1.20g,0.20g,31.00g,75点,
2025-07-13,牧場しぼり,120,ml ,完了,180.0kcal,2.50g,10.00g,20.00g,65点,
2025-07-13,しっとりパンケーキ,1,個,,450.0kcal,6.0g,25.0g,50.0g,,
2025-07-13,芋タルトあいす,1,個,,286.0kcal,3.5g,15.0g,35.0g,,
2025-07-13,ごはん（白米）,100,g ,完了,168.0kcal,2.50g,0.30g,37.10g,70点,
2025-07-13,ふりかけ,10,g ,完了,35.0kcal,1.50g,0.80g,5.50g,65点,
2025-07-18,プロテイン,30.00,g ,完了,120.0kcal,24.00g,1.00g,3.00g,90点,
2025-07-18,パルテノ,1.00,個,,106.0kcal,9.6g,3.0g,6.4g,,
2025-07-18,メロンフロートアイス,1.00,個,,134.0kcal,2.0g,4.0g,25.0g,,
2025-07-18,桃ゼリー,1.00,個,,26.0kcal,0.2g,0.0g,6.5g,,
2025-07-18,昼食,1.00,個,,380.0kcal,15.0g,6.0g,50.0g,,
2025-07-18,プロテイン,15.00,g ,,72.0kcal,12.0g,0.8g,1.0g,,
2025-07-18,武田牧場のアイス,1.00,個,,178.0kcal,3.0g,8.0g,26.0g,,
2025-07-18,穀物パン,100.00,g ,,200.0kcal,8.0g,2.0g,42.0g,,
2025-07-18,たくあん,200.00,g ,完了,60.0kcal,1.00g,0.20g,14.00g,40点,
2025-07-18,糖質ゼロまぜそば,1.00,杯,,150.0kcal,6.0g,8.0g,10.0g,,
2025-07-19,オートミール,30.00,g ,完了,114.0kcal,3.80g,2.20g,20.00g,85点,
2025-07-19,サラダチキン,110.00,g ,完了,120.0kcal,25.00g,1.00g,0.00g,90点,
2025-07-19,ガリガリ君パイン,1.00,本,,87.0kcal,0.0g,0.0g,22.7g,,
2025-07-19,オートミール,50.00,g ,完了,190.0kcal,6.00g,3.50g,33.00g,85点,はちみつとココアパウダー少々
2025-07-19,プロテイン,30.00,g ,,144.0kcal,25.0g,3.1g,4.0g,,
2025-07-19,プロテイン,30.00,g ,,144.0kcal,25.0g,3.1g,4.0g,,
2025-07-19,うなぎ,70.00,g ,完了,151.0kcal,14.00g,10.50g,0.10g,85点,おおむねのカロリー
2025-07-19,刺身,100.00,g ,完了,120.0kcal,20.00g,3.00g,0.00g,85点,
2025-07-19,カレー,1.00,皿,,300.0kcal,,,,,
2025-07-19,オートミール,50.00,g ,完了,190.0kcal,6.00g,3.50g,32.00g,85点,
2025-07-20,もなか,5.00,個,完了,350.0kcal,5.00g,2.00g,75.00g,60点,
2025-07-20,プロテイン,18.00,g ,,80.0kcal,25.0g,3.1g,4.0g,,
2025-07-20,プロテイン,30.00,g ,,144.0kcal,25.0g,3.1g,4.0g,,
2025-07-20,マサラダパン(ファミマ),1.00,個,,376.0kcal,9.0g,16.0g,50.0g,,
